# id,institution,course_code,transfer_course_code,restriction,db_reference_no

688,"School of Professional and Continuing Education, The University of Hong Kong",CC88-259 / CCSS4004,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B+,B05860
689,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4061,COMP G&M: Computer Science Track Course,GD:B+,B06688
690,"School of Professional and Continuing Education, The University of Hong Kong",CCST4095 + CCST4065,ENVS 3004: Global Climate Change,Expired,B11420a
691,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4031,COMP S&N: Computer Science Track Course,GD:B+,B06682
692,"School of Professional and Continuing Education, The University of Hong Kong",CC88-447 / CCIT4026,ELEC 2300: Computer Organization,GD:A-,B05334
693,"School of Professional and Continuing Education, The University of Hong Kong",CC88-321 / CCIT4020,COMP 1022P: Introduction to Computing with Java,GD:B+,B02263
694,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4016,COMP A&T: Computer Science Track Course,GD:B+,B06686
695,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4033 / CC88-620,IELM 3300: Industrial Data Systems,No Restriction,B07009
696,"School of Professional and Continuing Education, The University of Hong Kong",CC88-620 /CCIT4033,COMP 3311: Database Management Systems,GD:B+,B02264
697,"School of Professional and Continuing Education, The University of Hong Kong",CC88-670 / CCIT4054,ELEC 1010: Electronic and Information Technology,No Restriction,B05336
698,"School of Professional and Continuing Education, The University of Hong Kong",CC88-341 / CCBS4005,ACCT 2010: Principles of Accounting I,GD:B+,B00570b
699,"School of Professional and Continuing Education, The University of Hong Kong",CC88-341 / CCBS4005,ACCT 2020: Introduction to Accounting for Non-Business Majors,GD:B+,B00570a
700,"School of Professional and Continuing Education, The University of Hong Kong",CCBS4006,FINA 2303: Financial Management,GD:B+,B05893a
701,"School of Professional and Continuing Education, The University of Hong Kong",CC88-249 / CCST4012,CHEM 1010: General Chemistry IA,GD:B,B02680
702,"School of Professional and Continuing Education, The University of Hong Kong",CCST4012+CCST4111,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD: C+,B11187a
703,"School of Professional and Continuing Education, The University of Hong Kong",CCST4012+CCST4029,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD:B,B11187
704,"School of Professional and Continuing Education, The University of Hong Kong",CC88-349 / CCIT4024,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B00339a
705,"School of Professional and Continuing Education, The University of Hong Kong",HP83-231,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B00487a
706,"School of Professional and Continuing Education, The University of Hong Kong",CC88-340 / CCBS4007,MGMT 1110: Introduction to Management,GD:B+,B00835a
707,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-896 / HPMS4012,ISOM 2010: Introduction to Information Systems,GD:B+,B05856
708,"School of Professional and Continuing Education, The University of Hong Kong",CC88-342 / CCBS4008,MARK 2120: Marketing Management,GD:B+,B00568b
709,"School of Professional and Continuing Education, The University of Hong Kong",CC88-246 / CD85-215-78 / CCIT4009,COMP 1001: Exploring Multimedia and Internet Computing,No Restriction,B00134b
710,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4019,COMP S&D: Computer Science Track Course,GD:B+,B13444a
711,"School of Professional and Continuing Education, The University of Hong Kong",CCSS4007,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B14013
712,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-691 / HPMS4011,ISOM 4750: Business Project Management,GD:B+,B05859a
713,"School of Professional and Continuing Education, The University of Hong Kong",CCSS4009,SOSC 1960: Discovering Mind and Behavior,No Restriction,B02459b
714,"School of Professional and Continuing Education, The University of Hong Kong",CCSS4006,SOSC 1850: Understanding Society,GD:B,B10333
715,"School of Professional and Continuing Education, The University of Hong Kong",CCST3005,LIFS 1901: General Biology I,No Restriction,B14152
716,"School of Professional and Continuing Education, The University of Hong Kong",CCST3006,CHEM 1010: General Chemistry IA,GD:B,B11191
717,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-579 / HPAC4005,ACCT 2010: Principles of Accounting I,GD:B+,B05852
718,"School of Professional and Continuing Education, The University of Hong Kong",CC88-250 / CCST4013,CHEM 2110: Organic Chemistry I CHEM 2150: Organic Chemistry Laboratory,GD:B,B02828
719,"School of Professional and Continuing Education, The University of Hong Kong",CC88-621 +CC88-297,COMP S&N: Computer Science Track Course,GD:B+,B02265
720,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-221/ CCAC4012A,ACCT 3610: Functions of Law in Society and Business,GD:A-,B11315
721,"School of Professional and Continuing Education, The University of Hong Kong",CCAC4012A + CCAC4012B,ACCT 3610: Functions of Law in Society and Business,GD:A-,B12311
722,"School of Professional and Continuing Education, The University of Hong Kong",CCBS4010,ECON 2123: Macroeconomics,GD:B+,B00834b
723,"School of Professional and Continuing Education, The University of Hong Kong",CC88-820 / CCBS5001 + CC88-825,ACCT 2200: Principles of Accounting II,GD:B+,B05891
724,"School of Professional and Continuing Education, The University of Hong Kong",CC88-314 /CCIT4015,COMP S&D: Computer Science Track Course,GD:B+,B05338
725,"School of Professional and Continuing Education, The University of Hong Kong",CCMK5007,MGMT 1110: Introduction to Management,GD:B+,B10677
726,"School of Professional and Continuing Education, The University of Hong Kong",CCBS5008,ACCT 2200: Principles of Accounting II,GD:B+,B10663
727,"School of Professional and Continuing Education, The University of Hong Kong",HPTH4003,MARK 2120: Marketing Management,GD:B+,B11053
728,"School of Professional and Continuing Education, The University of Hong Kong",CC-66-390 / CCMK4006,MARK 2120: Marketing Management,GD:B+,B10834
729,"School of Professional and Continuing Education, The University of Hong Kong",CCTP4013,MARK 2120: Marketing Management,GD:B+,B11129
730,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-992 / HPAC 4002,MARK 2120: Marketing Management,GD:B+,B11318
731,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4071,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B11078
732,"School of Professional and Continuing Education, The University of Hong Kong",CC88-166 / CCMA3001,IELM 2510: Engineering Probability and Statistics,No Restriction,B02325a
733,"School of Professional and Continuing Education, The University of Hong Kong",CC88-452 / CCMA4008,ISOM 2500: Business Statistics,GD:B+,B03108c
734,"School of Professional and Continuing Education, The University of Hong Kong",CC88-452 / CCMA4008,IELM 2510: Engineering Probability and Statistics,No Restriction,B03108a
735,"School of Professional and Continuing Education, The University of Hong Kong",CC88-452 / CCMA4008,SOSC 1100: Elementary Statistics for Social Research,GD:B-,B03108
736,"School of Professional and Continuing Education, The University of Hong Kong",CCMA4008,IELM 2510: Engineering Probability and Statistics,No Restriction,B14081
737,"School of Professional and Continuing Education, The University of Hong Kong",CC88-322 / CCIT 4021,COMP A&T: Computer Science Track Course,GD:B+,B05339a
738,"School of Professional and Continuing Education, The University of Hong Kong",CC88-322 / CCIT4021,MATH 2343: Discrete Structures,No Restriction,B05339
739,"School of Professional and Continuing Education, The University of Hong Kong",CMA4003,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B00334b
740,"School of Professional and Continuing Education, The University of Hong Kong",CC66-323 /CCIM4047,MECH 2020: Statics and Dynamics,GD:B+,B03109
741,"School of Professional and Continuing Education, The University of Hong Kong",CC88-422/CCST4025 + CC88-461/CCST4048,LIFS 3060: Microbiology,No Restriction,B07987
742,"School of Professional and Continuing Education, The University of Hong Kong",CC66-298 / CCIM4048,COMP S&D: Computer Science Track Course,GD:B+,B00183b
743,"School of Professional and Continuing Education, The University of Hong Kong",CC88-774 / CCIT4064,ELEC 3300: Introduction to Embedded Systems,GD:A-,B05340
744,"School of Professional and Continuing Education, The University of Hong Kong",CC88-277 / CCBS4009,ECON 2103: Principles of Microeconomics,GD:B+,B05892
745,"School of Professional and Continuing Education, The University of Hong Kong",CC88-761 /CCIT4059,COMP 4521: Mobile Application Development (Aka: Embedded Systems Software),GD:B+,B05341a
746,"School of Professional and Continuing Education, The University of Hong Kong",CC88-423 / CCST4026,LIFS 4060: Immunobiology,No Restriction,B03199
747,"School of Professional and Continuing Education, The University of Hong Kong",CC88-265 / CCST4017,LIFS 2210: Biochemistry I,No Restriction,B02867
748,"School of Professional and Continuing Education, The University of Hong Kong",CC88-265/CCST4017 + CC88-167/CCST4009 + CC88-667/CCST4084,LIFS 1901: General Biology I,No Restriction,B07986
749,"School of Professional and Continuing Education, The University of Hong Kong",CC88-671 /CCIT4055,COMP S&N: Computer Science Track Course,GD:B+,B02266
750,"School of Professional and Continuing Education, The University of Hong Kong",CCST4086,PHYS 1002: Introduction to Astrophysics and Astronomy,No Restriction,B10894
751,"School of Professional and Continuing Education, The University of Hong Kong",CC88-642 / CCIT4051,COMP S&N: Computer Science Track Course,GD:B+,B02267
752,"School of Professional and Continuing Education, The University of Hong Kong",CC88-627 / CCIT4040,COMP 4631: Computer and Communication Security,GD:B+,B02268
753,"School of Professional and Continuing Education, The University of Hong Kong",CC88-324 / CCIT4023,COMP 1022P: Introduction to Computing with Java,GD:B+,B00126a
754,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-222 / CCAC4013,MGMT 1110: Introduction to Management,GD:B+,B11317
755,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-689 / HPMS4009,MGMT 2110: Organizational Behavior,GD:B+,B05858
756,"School of Professional and Continuing Education, The University of Hong Kong",HPTH4025,MGMT 2110: Organizational Behavior,GD:B+,B11054
757,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-687 / HPMS4007,SOSC 1000CS: 1000-level Course in Social Science / CS Minor Program,GD:B+,B05857a
758,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-578 / HPMS4002,MGMT 1110: Introduction to Management,GD:B+,B05851
759,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-391 / CCMK4008,MGMT 1110: Introduction to Management,GD:B+,B10678
760,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-686 / HPMS4006,MARK 2120: Marketing Management,GD:B+,B05862
761,"School of Professional and Continuing Education, The University of Hong Kong",CC88-824 / CCBS5005,MGMT 2110: Organizational Behavior,GD:B+,B05894
762,"School of Professional and Continuing Education, The University of Hong Kong",CC66-324 /CCIM4050,CENG 1700: Introduction to Environmental Engineering,No Restriction,B02808
763,"School of Professional and Continuing Education, The University of Hong Kong",CC66-324 + CC66-310 / CCIM4050 + CCIM4051,CENG 1700: Introduction to Environmental Engineering,No Restriction,B02819
764,"School of Professional and Continuing Education, The University of Hong Kong",CC88-593,MATH 2421: Probability,No Restriction,B02681
765,"School of Professional and Continuing Education, The University of Hong Kong",CC88-746 / CCST4093,MATH 3423: Statistical Inference,No Restriction,B03137
766,"School of Professional and Continuing Education, The University of Hong Kong",CC66-314 / CCIM4053,MECH 2410: Engineering Materials I,GD:B+,B02732a
767,"School of Professional and Continuing Education, The University of Hong Kong",CC66-314 /CCIM4053,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B02732
768,"School of Professional and Continuing Education, The University of Hong Kong",CCCU4015,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B10331
769,"School of Professional and Continuing Education, The University of Hong Kong",HPTH4004,ISOM 3740: Service Management,GD:B+,B11057
770,"School of Professional and Continuing Education, The University of Hong Kong",CC88-645 /CCIT4052,COMP 2021: Unix and Script Programming,GD:B+,B02269
771,"School of Professional and Continuing Education, The University of Hong Kong",CC88-468 /CCIT4030,ELEC 2100: Signals and Systems,GD:A-,B05343
772,"School of Professional and Continuing Education, The University of Hong Kong",CCMK4010,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B11019
773,"School of Professional and Continuing Education, The University of Hong Kong",CCSS4033,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B13096
774,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4054,COMP S&D: Computer Science Track Course,GD:B+,B13442a
775,"School of Professional and Continuing Education, The University of Hong Kong",CC88-764 / CCMA4009,ISOM 2500: Business Statistics,GD:B+,B00625a
776,"School of Professional and Continuing Education, The University of Hong Kong",CCMA4009,IELM 2510: Engineering Probability and Statistics,No Restriction,B00625b
777,"School of Professional and Continuing Education, The University of Hong Kong",CC88-622 /CCIT4035,COMP S&N: Computer Science Track Course,GD:B+,B02270
778,"School of Professional and Continuing Education, The University of Hong Kong",CD85-215-80 / CCIT4025,COMP S&N: Computer Science Track Course,GD:B+,B00135a
779,"School of Professional and Continuing Education, The University of Hong Kong",CCTP4007,MGMT 1110: Introduction to Management,GD:B+,B07013a
780,"School of Professional and Continuing Education, The University of Hong Kong",CC66-315 / CCIM4057,MECH 2310: Thermodynamics,GD:B+,B02733
781,"School of Professional and Continuing Education, The University of Hong Kong",CC88-638 / CCIT4004,COMP G&M: Computer Science Track Course,GD:B+,B00129a
782,"School of Professional and Continuing Education, The University of Hong Kong",CCTP4008 + CCTP4009 + CCTP4010 / CC66-379 + CC66-380 + CC66-381,IELM 2410: Logistics and Freight Transportation Operations,No Restriction,B07011
783,"School of Professional and Continuing Education, The University of Hong Kong",CC88-784 / CCST4099,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02679a
784,"School of Professional and Continuing Education, The University of Hong Kong",CD85-215-59 / CCIT4011,COMP S&D: Computer Science Track Course,GD:B+,B00133a
785,"School of Professional and Continuing Education, The University of Hong Kong",CCAH4009,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B00341b
786,"School of Professional and Continuing Education, The University of Hong Kong",CCIT3002,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B06687
787,"School of Professional and Continuing Education, The University of Hong Kong",CC88-636 / CCIT4048,COMP S&D: Computer Science Track Course,GD:B+,B00127a
788,The Chinese University of Hong Kong,UGEB-1307,ENVS2000STCC: 2000-level Course in Environmental Science/ STCC UCORE,No Restriction,B12668b
789,The Chinese University of Hong Kong,SEEM3450,"SOSC 1130: Science, Technology and Business",GD:B-,B02820b
790,The Chinese University of Hong Kong,SEEM3450,ISOM 4020: Innovation Management and Technology Entrepreneurship,GD:B+,B02820e
791,The Chinese University of Hong Kong,SEEM3450,ELEC 3710: Hi-Tech Entrepreneurship,No Restriction,B02820c
792,The Chinese University of Hong Kong,ELTU1002,LANG 1002: English for University Studies I,No Restriction,B08733
793,The Chinese University of Hong Kong,FREN1000,LANG 1310: French: World Language and Culture,No Restriction,B02517
794,The Chinese University of Hong Kong,FREN2000,LANG 1000LEVEL: 1000-level Course in Language,No Restriction,B02587
795,The Chinese University of Hong Kong,FREN3050,LANG 1000LEVEL: 1000-level Course in Language,No Restriction,B02588
796,The Chinese University of Hong Kong,FINA-3020,"FINA 4403: International Finance (AKA: FINA 3404: International Finance, 4 credits)",No Restriction,B12667
797,The Chinese University of Hong Kong,ENGG1000,COMP 1000LEVEL: 1000-level Course in Computer Science and Engineering,No Restriction,B02516b
798,The Chinese University of Hong Kong,UGEA2160,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B07428c
799,The Chinese University of Hong Kong,SAYT1114,OTHR FREE: Free Credits,No Restriction,B03123c
800,The Chinese University of Hong Kong,PHYS1712,PHYS 1113: Laboratory for General Physics I,No Restriction,B02522
801,The Chinese University of Hong Kong,CHEM1070,CHEM 1010: General Chemistry IA,No Restriction,B02514
802,The Chinese University of Hong Kong,SAYT1134,OTHR FREE: Free Credits,No Restriction,B07554c
803,The Chinese University of Hong Kong,GECW1010,SOSC 1000LEVEL: 1000-level Course in Social Science,No Restriction,B08731
804,The Chinese University of Hong Kong,MATH1010,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02519
805,The Chinese University of Hong Kong,PHYS1111,PHYS 1112: General Physics I with Calculus,No Restriction,B02520
806,The Chinese University of Hong Kong,PHYS1122,PHYS 2022: Modern Physics,No Restriction,B02521
807,The Hong Kong Institute of Education,SCI2074,CHEM 1004: Chemistry in Everyday Life,No Restriction,B03282
808,The Hong Kong Institute of Education,TLS3003,OTHR FREE: Free Credits,No Restriction,B03339a
809,The Hong Kong Institute of Education,GEH1014,CHEM 1004: Chemistry in Everyday Life,No Restriction,B03283
810,The Hong Kong Institute of Education,COC1014,SOSC 1662: Contemporary Hong Kong: Society,No Restriction,B03281
811,The Hong Kong Institute of Education,SCI2076,OTHR FREE: Free Credits,No Restriction,B03338
812,The Hong Kong Institute of Education,GEG1001/ GEA1003,SOSC 2290: Understanding Globalization,No Restriction,B03280
813,The Hong Kong Institute of Education,IIT1082,COMP 1022P: Introduction to Computing with Java,No Restriction,B03278
814,The Hong Kong Polytechnic University,ABCT2741,CHEM 2310: Fundamentals of Analytical Chemistry,No Restriction,B06402
815,The Hong Kong Polytechnic University,ABCT359 / ABCT3759,CHEM 2350: Analytical Chemistry Laboratory,GD:B,B00477
816,The Hong Kong Polytechnic University,AP10007,PHYS 1113: Laboratory for General Physics I,No Restriction,B02682
817,The Hong Kong Polytechnic University,EIE2101,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B06674
818,The Hong Kong Polytechnic University,AMA1100,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02387
819,The Hong Kong Polytechnic University,AMA1100 + AMA1102,MATH 1020: Accelerated Calculus,No Restriction,B02388a
820,The Hong Kong Polytechnic University,AMA1110 + AMA1120,MATH 1020: Accelerated Calculus,No Restriction,B07067
821,The Hong Kong Polytechnic University,AMA1006,MATH 2411: Applied Statistics,No Restriction,B00001a
822,The Hong Kong Polytechnic University,CC2C10P,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B03157a
823,The Hong Kong Polytechnic University,CC2C10,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B03157
824,The Hong Kong Polytechnic University,AMA1007 + AMA2882,MATH 1020: Accelerated Calculus,No Restriction,B02949b
825,The Hong Kong Polytechnic University,LGT3524,"ISOM 3000OM: 3000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B10318
826,The Hong Kong Polytechnic University,ABCT2775,CHEM 2150: Organic Chemistry Laboratory,GD:B,B00478a
827,The Hong Kong Polytechnic University,CC1C07,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B06706
828,The Hong Kong Polytechnic University,CC2C12P,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11275a
830,The Hong Kong Polytechnic University,LSGI1B02,"CIVL 1170: Climate Change, Sustainability and Big History (Aka: Climate Change Risk, Mitigation and Adaptations)",No Restriction,B02846
831,The Hong Kong Polytechnic University,COMP250,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B00482a
832,The Hong Kong Polytechnic University,EIE2264,COMP 1021: Introduction to Computer Science,GD:B+,B00669a
833,The Hong Kong Polytechnic University,EIE264 / EIE2264,COMP 1021: Introduction to Computer Science,GD:B+,B00519b
834,The Hong Kong Polytechnic University,ENG2002,COMP 2011: Introduction to Object-oriented Programming,No Restriction,B11809a
835,The Hong Kong Polytechnic University,ENG236,COMP 1021: Introduction to Computer Science,GD:B+,B00506a
836,The Hong Kong Polytechnic University,EIE3361,ELEC 2300: Computer Organization,GD:A-,B00513c
837,The Hong Kong Polytechnic University,EIE361 / EIE3361,COMP 2611: Computer Organization,GD:B+,B00513a
838,The Hong Kong Polytechnic University,APSS2910 / APSS1B17,HUMA 1620: Human Culture and Society,GD:B,B00507a
839,The Hong Kong Polytechnic University,IC2122,IELM 2100E: Computing in Industrial Applications,No Restriction,B11010
840,The Hong Kong Polytechnic University,EIE399 / EIE3399,ELEC 4120: Computer Communication Networks,GD:B+,B00518a
841,The Hong Kong Polytechnic University,EIE3114,COMP 3311: Database Management Systems,GD:B+,B02380
842,The Hong Kong Polytechnic University,EIE2302,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B11007
843,The Hong Kong Polytechnic University,EIE251,ELEC 2400: Electronic Circuits,GD:A,B00510b
844,The Hong Kong Polytechnic University,CSE10252,MECH 1101: Fundamentals of Aeronautical Engineering - Fluid Mechanics,No Restriction,B02476a
845,The Hong Kong Polytechnic University,CBS1100P,LANG CCOM: Chinese Language Proficiency Achieved,AD,B02824
846,The Hong Kong Polytechnic University,ENG2001,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B11008
847,The Hong Kong Polytechnic University,ABCT1102,LIFS 1010: Appreciation of Biological Sciences,No Restriction,B00318a
848,The Hong Kong Polytechnic University,ABCT1103,CHEM 1050: Laboratory for General Chemistry I LIFS 1904: Laboratory for General Biology II,No Restriction,B03160b
849,The Hong Kong Polytechnic University,ABCT1103+ABCT1741+ABCT1742+ABCT2774,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,No Restriction,B11086
850,The Hong Kong Polytechnic University,LGT2516 + LGT3505,IELM 2410: Logistics and Freight Transportation Operations,No Restriction,B10310a
851,The Hong Kong Polytechnic University,CSE10254,CIVL 4700: Engineering Geology (Previous code: CIVL3700),No Restriction,B03081
852,The Hong Kong Polytechnic University,GEC1H16C,SOSC 1000LEVEL: 1000-level Course in Social Science,No Restriction,B10245
853,The Hong Kong Polytechnic University,ABCT226,LIFS 3040: Animal Physiology,No Restriction,B00802a
854,The Hong Kong Polytechnic University,EIE282 / EIE2282,COMP S&N: Computer Science Track Course,GD:B+,B00520b
855,The Hong Kong Polytechnic University,ENG2003,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B07238
856,The Hong Kong Polytechnic University,LGT3505,"ISOM 3000OM: 3000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B10313
857,The Hong Kong Polytechnic University,ABCT247 / ABCT3747,CENG 1000: Introduction to Chemical and Biomolecular Engineering,No Restriction,B00481
858,The Hong Kong Polytechnic University,ABCT1700,CHEM 1004: Chemistry in Everyday Life,No Restriction,B14063a
859,The Hong Kong Polytechnic University,ISE246,IELM 2410: Logistics and Freight Transportation Operations,No Restriction,B11009
860,The Hong Kong Polytechnic University,APSS111/APSS1A07,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B07066
861,The Hong Kong Polytechnic University,APSS1A08,SOSC 1850: Understanding Society,GD:B,B11074
862,The Hong Kong Polytechnic University,ABCT1D04 / ABCT1101,LIFS 1010: Appreciation of Biological Sciences,No Restriction,B02391
863,The Hong Kong Polytechnic University,AMA1103,MATH 1003: Calculus and Linear Algebra,No Restriction,B02392
864,The Hong Kong Polytechnic University,AMA1104,MATH 2411: Applied Statistics,No Restriction,B02393a
865,The Hong Kong Polytechnic University,HTM1A01,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B+,B06705
866,The Hong Kong Polytechnic University,GEC1A03,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11806a
867,The Hong Kong Polytechnic University,EIE362 / EIE3362,ELEC 2100: Signals and Systems,GD:A,B00523a
868,The Hong Kong Polytechnic University,GEC1C25,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B00219c
869,The Hong Kong Polytechnic University,CCN2024,HUMA 1720: Logic,GD:B,B00219b
870,The Hong Kong Polytechnic University,EIE2261,ELEC 2200: Digital Circuits and Systems,GD:A-,B02383
871,The Hong Kong Polytechnic University,HTM1005,MGMT 1110: Introduction to Management,GD:B+,B11415
872,The Hong Kong Polytechnic University,AP20002,PHYS 3040: Introduction to Materials Science,No Restriction,B14067
873,The Hong Kong Polytechnic University,CSE19251,CIVL 2810: Construction Materials,No Restriction,B02477
874,The Hong Kong Polytechnic University,AMA2111,MATH 1020: Accelerated Calculus,No Restriction,B02377c
875,The Hong Kong Polytechnic University,CSE19100,CIVL 2120: Mechanics of Materials,No Restriction,B02473
876,The Hong Kong Polytechnic University,EIE373 / EIE3373,COMP S&D: Computer Science Track Course,GD:B+,B00521b
877,The Hong Kong Polytechnic University,EIE3373,ELEC 3300: Introduction to Embedded Systems,No Restriction,B00521c
878,The Hong Kong Polytechnic University,CC2C08,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11751
879,The Hong Kong Polytechnic University,EIE375 / EIE3375,COMP 2011: Introduction to Object-oriented Programming,GD:B+,B00509b
880,The Hong Kong Polytechnic University,HTM2310,ACCT 2020: Introduction to Accounting for Non-Business Majors,GD:B+,B11417
881,The Hong Kong Polytechnic University,ABCT242 / ABCT2742,CHEM 2110: Organic Chemistry I,GD:B,B00475
882,The Hong Kong Polytechnic University,ELC2012,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B03159
883,The Hong Kong Polytechnic University,AP10006,PHYS 1114: General Physics II,No Restriction,B11804
884,The Hong Kong Polytechnic University,AMA2104,ELEC 2600: Probability and Random Processes in Engineering,No Restriction,B11807a
885,The Hong Kong Polytechnic University,AMA2104,MATH 3000LEVEL: 3000-level Course in Mathematics,No Restriction,B11807b
886,The Hong Kong Polytechnic University,AP20005,COMP 1022P: Introduction to Computing with Java,GD:B+,B02948a
887,The Hong Kong Polytechnic University,ISE369,IELM 3270: Quality Engineering,No Restriction,B11006
888,The Hong Kong Polytechnic University,LGT2510,ISOM 2500: Business Statistics,GD:B+,B10308
889,The Hong Kong Polytechnic University,LGT2510,IELM 2510: Engineering Probability and Statistics,No Restriction,B10308a
890,The Hong Kong Polytechnic University,LGT3501,MARK 2120: Marketing Management,GD:B+,B10311a
891,The Hong Kong Polytechnic University,LGT3508,"ISOM 3000OM: 3000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B10314
892,The Hong Kong Polytechnic University,AP10008,PHYS 1111: General Physics I,No Restriction,B02683
893,The Hong Kong Polytechnic University,AP10009,PHYS 1114: General Physics II,GD:B,B00317a
894,The Hong Kong Polytechnic University,AP20008,PHYS 3038: Optics,No Restriction,B07065
895,The Hong Kong Polytechnic University,EIE380,COMP G&M: Computer Science Track Course,GD:B+,B00524b
896,The Hong Kong Polytechnic University,HTM1B05,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02848a
897,The Open University of Hong Kong,TC S350F,CHEM 2310: Fundamentals of Analytical Chemistry,No Restriction,B06854
898,The Open University of Hong Kong,TC S356 F,LIFS 3110: Biotechnological Application of Recombinant DNA Techniques,GD:B+,B06855
899,The Open University of Hong Kong,TC S351F,LIFS 3060: Microbiology,GD:B+,B06856
900,The University of Hong Kong,BPHM 1116,LIFS 2210: Biochemistry I,No Restriction,B11240
901,The University of Hong Kong,CAES1000,LANG ECOM: English Language Proficiency Achieved,No Restriction,B11237
902,The University of Hong Kong,FINA1003,FINA 2303: Financial Management,No Restriction,B00676b
903,The University of Hong Kong,FINA0301,"FINA 3203: Derivative Securities (AKA: FINA 3204: Derivative Securities, 4 credits)",No Restriction,B14253
904,The University of Hong Kong,CCGL 9040,MECH 1902: Energy Systems in a Sustainable World,No Restriction,B11239
905,The University of Hong Kong,CCCH 9024,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B11238c
906,The University of Hong Kong,BUSI1002,ACCT 2010: Principles of Accounting I,No Restriction,B00671b
907,The University of Hong Kong,ACCT1101,ACCT 2010: Principles of Accounting I,No Restriction,B11738
908,The University of Hong Kong,ECON1002/ ECON1220,ECON 2123: Macroeconomics,No Restriction,B14299
909,The University of Hong Kong,ECON1001 / 1210,ECON 2113: Microeconomics,No Restriction,B00673b
910,The University of Hong Kong,STAT1603,ISOM 2500: Business Statistics,No Restriction,B14250
911,The University of Hong Kong,FINA2802,"FINA 3103: Intermediate Investments (AKA: FINA 3104: Investment Analysis and Portfolio Management, 4 credits)",No Restriction,B14252
912,The University of Hong Kong,MATH2101,MATH 2111: Matrix Algebra and Applications,No Restriction,B02976a
913,The University of Hong Kong,FINA2331,"FINA 4503: Banking and Financial Intermediation (AKA: FINA 3504: Management of Financial Institutions, 4 credits)",No Restriction,B14533
