# id,institution,course_code,transfer_course_code,restriction,db_reference_no

228,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3409,COMP A&T: Computer Science Track Course,GD:B+,B00093a
229,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2107,ISOM 2010: Introduction to Information Systems,GD:B+,B03491
230,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3143,COMP A&T: Computer Science Track Course,GD:B+,B00081a
231,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2406 / CCN1045,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B00038
232,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1045 + CCN2250,MATH 1020: Accelerated Calculus,No Restriction,B01457
233,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3745 / CCN2254,LIFS 2040: Cell Biology,No Restriction,B00445
234,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2008,CHEM 1004: Chemistry in Everyday Life,No Restriction,B02460
235,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2049,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11021
236,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3301,COMP S&N: Computer Science Track Course,GD:B+,B00086a
237,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2109,MGMT 1000LEVEL: 1000-level Course in Management,GD:B+,B11017
238,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2263,COMP A&T: Computer Science Track Course,GD:B+,B02226
239,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3729,COMP G&M: Computer Science Track Course,GD:B+,B00100a
240,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2238,COMP 4621: Computer Communication Networks I,GD:B+,B02222
241,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2264,COMP 2611: Computer Organization,GD:B+,B02215
242,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2042,COMP 1022P: Introduction to Computing with Java,GD:B+,B02214
243,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2202,COMP 2611: Computer Organization,GD:B+,B00070a
244,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3133,COMP S&N: Computer Science Track Course,No Restriction,B02582a
245,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3133,COMP S&N: Computer Science Track Course,GD:B+,B00087c
246,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3302,COMP 2611: Computer Organization,GD:B+,B00087a
247,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2111,ACCT 2200: Principles of Accounting II,GD:B+,B03487
248,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1004 / CC2002,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B00300c
249,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3204,COMP S&N: Computer Science Track Course,GD:B+,B00083a
250,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2239,COMP A&T: Computer Science Track Course,GD:B+,B02218
251,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2203,COMP A&T: Computer Science Track Course,GD:B+,B00077a
252,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3210,COMP S&D: Computer Science Track Course,GD:B+,B00085a
253,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2240,COMP 3311: Database Management Systems,GD:B+,B02216
254,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3303,COMP S&D: Computer Science Track Course,GD:B+,B00188b
255,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3304,COMP S&N: Computer Science Track Course,GD:B+,B00088b
256,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2204,COMP A&T: Computer Science Track Course,GD:B+,B00078a
257,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2241,COMP A&T: Computer Science Track Course,GD:B+,B02219
258,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2241,MATH 2343: Discrete Structures,No Restriction,B02219a
259,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2265,COMP S&D: Computer Science Track Course,GD:B+,B02227
260,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3423 / CCN2266,COMP A&T: Computer Science Track Course,GD:B+,B00094a
261,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1042,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B06824a
